@relation 'german_credit-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replacecredit-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc5-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc9-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc19-Rlast-weka.filters.unsupervised.attribute.Discretize-B20-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDiscPKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.MergeTwoValues-C14-Ffirst-S2-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank_stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute credit {good,bad}
@attribute ageDisc5 {'\'(-inf-28.333333]\'','\'(28.333333-37.666667]\'','\'(37.666667-47]\'','\'(47-56.333333]\'','\'(56.333333-65.666667]\'','\'(65.666667-inf)\''}
@attribute ageDisc9 {'\'(-inf-24.6]\'','\'(24.6-30.2]\'','\'(30.2-35.8]\'','\'(35.8-41.4]\'','\'(41.4-47]\'','\'(47-52.6]\'','\'(52.6-58.2]\'','\'(58.2-63.8]\'','\'(63.8-69.4]\'','\'(69.4-inf)\''}
@attribute ageDisc19 {'\'(-inf-21.8]\'','\'(21.8-24.6]\'','\'(24.6-27.4]\'','\'(27.4-30.2]\'','\'(30.2-33]\'','\'(33-35.8]\'','\'(35.8-38.6]\'','\'(38.6-41.4]\'','\'(41.4-44.2]\'','\'(44.2-47]\'','\'(47-49.8]\'','\'(49.8-52.6]\'','\'(52.6-55.4]\'','\'(55.4-58.2]\'','\'(58.2-61]\'','\'(61-63.8]\'','\'(63.8-66.6]\'','\'(66.6-69.4]\'','\'(69.4-72.2]\'','\'(72.2-inf)\''}
@attribute ageDiscPKIDiscretize {'\'(-inf-21.5]\'','\'(21.5-22.5]\'','\'(22.5-23.5]\'','\'(23.5-24.5]\'','\'(24.5-25.5]\'','\'(25.5-26.5]\'','\'(26.5-27.5]\'','\'(27.5-28.5]\'','\'(28.5-29.5]\'','\'(29.5-30.5]\'','\'(30.5-31.5]\'','\'(31.5-32.5]\'','\'(32.5-33.5]\'','\'(33.5-34.5]\'','\'(34.5-35.5]\'','\'(35.5-36.5]\'','\'(36.5-37.5]\'','\'(37.5-38.5]\'','\'(38.5-39.5]\'','\'(39.5-40.5]\'','\'(40.5-41.5]\'','\'(41.5-42.5]\'','\'(42.5-44.5]\'','\'(44.5-46.5]\'','\'(46.5-48.5]\'','\'(48.5-50.5]\'','\'(50.5-53.5]\'','\'(53.5-56.5]\'','\'(56.5-60.5]\'','\'(60.5-64.5]\'','\'(64.5-inf)\''}

@data
0<=X<200,0.117647,'existing paid',0.038572,100<=X<500,1,'female div/dep/mar',none,1,car,0.142857,bank_stores,rent,1,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.294118,'existing paid',0.138109,'no known savings',1,'male single',none,1,'no known property',0.303571,bank_stores,'for free',0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
0<=X<200,0.205882,'delayed previously',0.222681,<100,1,'male div/sep',none,0.666667,'no known property',0.375,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(39.5-40.5]\''
'no checking',0.073529,'critical/other existing credit',0.037746,500<=X<1000,1,'male single',none,0.333333,car,0.589286,none,own,0.333333,skilled,0,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
<0,0.117647,'existing paid',0.050512,<100,1,'male mar/wid',none,0.666667,'real estate',0.142857,none,own,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
'no checking',0.338235,'delayed previously',0.2678,<100,0.666667,'male single',none,1,car,0.125,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
<0,0.117647,'existing paid',0.035875,<100,1,'male mar/wid',none,1,'life insurance',0.035714,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(-inf-21.8]\'','\'(-inf-21.5]\''
'no checking',0.117647,'critical/other existing credit',0.068504,<100,1,'male single',none,0,'real estate',0.339286,none,own,0.333333,'unskilled resident',1,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(37.5-38.5]\''
<0,0.382353,'critical/other existing credit',0.57076,<100,0.666667,'male single',none,1,'no known property',0.339286,none,'for free',0.666667,'high qualif/self emp/mgmt',1,yes,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(37.5-38.5]\''
'no checking',0.117647,'critical/other existing credit',0.092715,<100,1,'male single',none,1,'real estate',0.428571,none,own,0.666667,skilled,0,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
0<=X<200,0.117647,'critical/other existing credit',0.064598,<100,1,'male single',none,0.666667,'life insurance',0.125,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
<0,0.294118,'existing paid',0.347639,<100,0.333333,'male mar/wid',none,0.333333,car,0.035714,bank_stores,own,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(-inf-21.8]\'','\'(-inf-21.5]\''
'no checking',0.117647,'existing paid',0.063993,>=1000,0.666667,'male single',none,0.333333,'life insurance',0.642857,none,own,0,skilled,0,none,no,good,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(53.5-56.5]\''
'no checking',0.073529,'critical/other existing credit',0.155387,'no known savings',0,'male single',none,0.333333,'real estate',0.25,none,own,0.333333,skilled,1,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(32.5-33.5]\''
'no checking',0.470588,'existing paid',0.19726,'no known savings',0.333333,'female div/dep/mar',none,1,'real estate',0.464286,none,own,0,'unskilled resident',0,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
<0,0.338235,'no credits/all paid',0.277484,<100,0.333333,'male single',none,1,'life insurance',0.553571,bank_stores,own,0.333333,skilled,0,yes,yes,bad,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(48.5-50.5]\''
>=200,0.382353,'delayed previously',0.091229,<100,1,'male single',none,1,'real estate',0.839286,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(65.666667-inf)\'','\'(63.8-69.4]\'','\'(63.8-66.6]\'','\'(64.5-inf)\''
'no checking',0.470588,'critical/other existing credit',0.170133,'no known savings',1,'male single',none,0.333333,car,0.571429,none,own,0,skilled,0,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
0<=X<200,0.029412,'critical/other existing credit',0.037526,'no known savings',0,'female div/dep/mar',none,0.666667,'life insurance',0.357143,none,own,0.333333,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
<0,0.205882,'no credits/all paid',0.157038,<100,0.666667,'male single',none,0,'life insurance',0.214286,bank_stores,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
>=200,0.470588,'existing paid',0.201552,<100,0.333333,'male single',none,0.333333,'real estate',0.071429,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
<0,0.294118,'existing paid',0.152471,<100,0.333333,'male div/sep',none,0.333333,'real estate',0.089286,none,rent,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
'no checking',0.088235,'existing paid',0.061296,<100,0.333333,'female div/dep/mar',none,1,car,0.803571,none,own,0,skilled,0,yes,yes,good,'\'(56.333333-65.666667]\'','\'(63.8-69.4]\'','\'(63.8-66.6]\'','\'(60.5-64.5]\''
0<=X<200,0.117647,'existing paid',0.020634,<100,1,'male mar/wid',guarantor,0,'real estate',0.125,bank_stores,own,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
<0,0.117647,'existing paid',0.052272,'no known savings',1,'female div/dep/mar',none,1,'life insurance',0.071429,bank_stores,rent,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
'no checking',0.117647,'existing paid',0.025146,<100,1,'male single',none,0.333333,'real estate',0.196429,bank_stores,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.294118,'delayed previously',0.150105,'no known savings',1,'male single',none,1,'real estate',0.232143,none,own,0.333333,skilled,1,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
'no checking',0.161765,'existing paid',0.242489,<100,0.666667,'male single',none,0.333333,car,0.196429,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.470588,'no credits/all paid',0.130021,<100,1,'male single',none,0.333333,car,0.142857,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.647059,'existing paid',0.589358,>=1000,0,'male single','co applicant',0.333333,'no known property',0.142857,bank_stores,own,0.333333,skilled,0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
<0,0.117647,'existing paid',0.419005,<100,1,'male single',none,1,'no known property',0.607143,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(50.5-53.5]\''
'no checking',0.073529,'existing paid',0.067569,<100,1,'male single',none,0.333333,car,0.053571,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
<0,0.294118,'existing paid',0.159514,<100,1,'male single',none,0,'no known property',0.053571,bank_stores,'for free',0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
>=200,0.470588,'existing paid',0.217894,<100,1,'male single',none,0.333333,car,0.125,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.073529,'existing paid',0.124188,500<=X<1000,0.333333,'male single',none,1,'no known property',0.571429,none,'for free',0,'unskilled resident',0,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
'no checking',0.117647,'existing paid',0.10405,100<=X<500,0.666667,'male single',none,0,'no known property',0.285714,none,own,0,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
0<=X<200,0.205882,'existing paid',0.033895,<100,1,'male mar/wid',guarantor,0.333333,'real estate',0.107143,none,own,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0,'critical/other existing credit',0.071201,<100,0.333333,'male single',none,0,'real estate',0.410714,none,own,0.666667,'unskilled resident',1,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(41.5-42.5]\''
<0,0.294118,'existing paid',0.086552,<100,1,'male single',none,0.333333,car,0.196429,bank_stores,own,0,'high qualif/self emp/mgmt',1,none,yes,bad,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
0<=X<200,0.029412,'existing paid',0.787113,'no known savings',0,'male single',none,0.333333,'life insurance',0.071429,none,own,0,'unemp/unskilled non res',0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
0<=X<200,0.25,'existing paid',0.138495,100<=X<500,1,'male div/sep',none,0.333333,car,0.75,bank_stores,rent,0.333333,'unskilled resident',0,none,yes,bad,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(58.2-61]\'','\'(60.5-64.5]\''
'no checking',0.117647,'critical/other existing credit',0.05728,<100,1,'female div/dep/mar',none,0.333333,'life insurance',0.285714,none,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
<0,0.382353,'existing paid',0.125014,<100,0,'male single',guarantor,0.666667,'life insurance',0.357143,none,own,0,skilled,1,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
<0,0.294118,'existing paid',0.036591,'no known savings',1,'female div/dep/mar',none,0.333333,car,0.178571,bank_stores,own,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
'no checking',0.029412,'existing paid',0.074007,<100,0.666667,'male single',none,0.333333,'life insurance',0.571429,none,own,0,skilled,1,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
<0,0.647059,'no credits/all paid',0.239628,<100,0.666667,'male single',none,1,'no known property',0.089286,none,'for free',0.333333,skilled,1,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
'no checking',0.117647,'critical/other existing credit',0.051447,<100,0.666667,'female div/dep/mar',none,0.333333,'real estate',0.142857,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
'no checking',0.117647,'all paid',0.175911,500<=X<1000,1,'female div/dep/mar',none,0.666667,'real estate',0.285714,none,own,0,'unskilled resident',1,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
'no checking',0.294118,'existing paid',0.055464,<100,1,'male single',none,0,'real estate',0.107143,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0.117647,'critical/other existing credit',0.025696,<100,1,'male single',none,1,'real estate',0.589286,none,own,0.666667,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
'no checking',0.029412,'no credits/all paid',0.052493,100<=X<500,1,'male single',none,0,'no known property',0.285714,bank_stores,rent,0,skilled,0,none,no,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
>=200,0.294118,'existing paid',0.092165,<100,0.333333,'male single',none,0.333333,'real estate',0.125,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.205882,'existing paid',0.010069,<100,0.666667,'female div/dep/mar','co applicant',1,'real estate',0.053571,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
<0,0.029412,'critical/other existing credit',0.02289,>=1000,0.666667,'female div/dep/mar',none,1,'real estate',0.357143,none,own,0.333333,'unskilled resident',0,yes,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
>=200,0.117647,'existing paid',0.110102,<100,0,'female div/dep/mar',none,0.333333,car,0.482143,none,own,0,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
0<=X<200,0.382353,'existing paid',0.104545,<100,1,'female div/dep/mar',guarantor,0.333333,'no known property',0.089286,bank_stores,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
'no checking',0.294118,'delayed previously',0.214647,100<=X<500,0.333333,'male single',none,0.666667,'life insurance',0.285714,none,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
0<=X<200,0.073529,'existing paid',0.097942,'no known savings',0.333333,'male single',none,0,car,0.089286,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
0<=X<200,0.823529,'delayed previously',0.39441,'no known savings',0,'male single',none,0,'real estate',0.142857,none,own,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
'no checking',0.294118,'critical/other existing credit',0.133928,<100,1,'male single',none,0.333333,'real estate',0.285714,none,own,0.333333,'unskilled resident',0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
<0,0.117647,'all paid',0.10449,<100,1,'male div/sep',none,0,'no known property',0.178571,none,'for free',0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
'no checking',0.161765,'existing paid',0.195994,100<=X<500,0,'female div/dep/mar',none,1,car,0.071429,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
'no checking',0.102941,'critical/other existing credit',0.049741,100<=X<500,1,'female div/dep/mar',none,1,'real estate',0.678571,none,own,0.666667,'unskilled resident',0,none,yes,good,'\'(56.333333-65.666667]\'','\'(52.6-58.2]\'','\'(55.4-58.2]\'','\'(56.5-60.5]\''
<0,0.117647,'existing paid',0.077418,<100,0.333333,'male single',none,0.333333,'real estate',0.142857,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
<0,0.294118,'existing paid',0.074447,<100,1,'female div/dep/mar',none,1,car,0.642857,none,own,0,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(53.5-56.5]\''
<0,0.205882,'critical/other existing credit',0.27798,<100,0.333333,'male single',none,1,'no known property',0.303571,none,'for free',0.666667,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
'no checking',0.117647,'critical/other existing credit',0.137449,<100,0.333333,'female div/dep/mar',none,1,'no known property',0.678571,bank_stores,'for free',0.666667,'unskilled resident',0,none,yes,good,'\'(56.333333-65.666667]\'','\'(52.6-58.2]\'','\'(55.4-58.2]\'','\'(56.5-60.5]\''
'no checking',0.088235,'critical/other existing credit',0.053978,<100,0.666667,'male single',none,1,'real estate',0.232143,none,own,0.333333,'unskilled resident',1,none,no,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
0<=X<200,0.161765,'existing paid',0.030373,<100,1,'male single',none,0.666667,car,0.321429,none,own,0,skilled,1,none,yes,bad,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
'no checking',0.470588,'critical/other existing credit',0.333113,'no known savings',1,'male single',none,1,'real estate',0.303571,none,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
'no checking',0.294118,'existing paid',0.070595,<100,1,'female div/dep/mar',none,0.666667,car,0.339286,bank_stores,own,0,skilled,0,yes,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(37.5-38.5]\''
<0,0.147059,'existing paid',0.480247,<100,0,'male div/sep',none,1,'life insurance',0.464286,none,own,0,'high qualif/self emp/mgmt',0,yes,no,bad,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
'no checking',0.294118,'existing paid',0.041213,'no known savings',1,'male single',none,0.333333,car,0.107143,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
'no checking',0.205882,'existing paid',0.132717,'no known savings',1,'male single',none,0.666667,'life insurance',0.232143,none,own,0,skilled,0,none,no,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
'no checking',0.117647,'critical/other existing credit',0.063387,500<=X<1000,0.666667,'female div/dep/mar',none,1,car,0.321429,none,rent,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
0<=X<200,0.647059,'all paid',0.655827,'no known savings',1,'male single','co applicant',1,'no known property',0.303571,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
0<=X<200,0.647059,'existing paid',0.154616,<100,1,'male single',none,1,'real estate',0.160714,none,own,0.333333,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
<0,0.382353,'existing paid',0.646418,<100,0,'male div/sep',none,0,'no known property',0.267857,none,own,0,'unskilled resident',0,yes,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(33.5-34.5]\''
'no checking',0.073529,'existing paid',0.134643,<100,0,'male single',none,0.333333,'real estate',0.232143,none,own,0,skilled,1,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
'no checking',0.205882,'critical/other existing credit',0.118521,<100,0.333333,'female div/dep/mar',none,0.333333,car,0.125,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
<0,0.117647,'existing paid',0.055684,'no known savings',0.333333,'male div/sep',none,1,'life insurance',0.535714,none,own,0,'unskilled resident',0,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(48.5-50.5]\''
'no checking',0.029412,'existing paid',0.239958,<100,0,'female div/dep/mar',none,1,'life insurance',0.232143,none,own,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
'no checking',0.294118,'existing paid',0.090844,100<=X<500,1,'male single',none,1,car,0.178571,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
'no checking',0.161765,'critical/other existing credit',0.171564,>=1000,0.666667,'male single',none,1,'no known property',0.071429,none,rent,0.333333,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
'no checking',0.117647,'existing paid',0.072851,<100,1,'male single',none,0.333333,'real estate',0.553571,none,own,0,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(48.5-50.5]\''
>=200,0.205882,'all paid',0.065753,'no known savings',1,'male single',none,1,car,0.535714,bank_stores,own,0,'unskilled resident',0,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(48.5-50.5]\''
'no checking',0.161765,'critical/other existing credit',0.06988,'no known savings',1,'male single',none,1,'life insurance',0.785714,none,own,0,skilled,0,none,yes,good,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(61-63.8]\'','\'(60.5-64.5]\''
0<=X<200,0.294118,'critical/other existing credit',0.199626,100<=X<500,1,'male div/sep',none,0.333333,car,0.321429,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
<0,0.632353,'existing paid',0.576208,<100,0,'female div/dep/mar',none,0,'real estate',0.285714,none,own,0,'unskilled resident',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
<0,0.647059,'existing paid',0.249697,<100,1,'male single',none,0.666667,'life insurance',0.125,none,own,0,skilled,1,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
0<=X<200,0.647059,'delayed previously',0.403433,100<=X<500,0.333333,'male single',none,1,'no known property',0.214286,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
